2015/01/01	1
2015/01/04	1
2015/01/05	1
2015/01/08	1
2015/01/12	1
2015/01/19	1
2015/01/20	2
2015/01/21	1
2015/01/24	1
2015/01/25	1
2015/01/27	1
2015/01/28	1
2015/01/29	1
2015/02/01	2
2015/02/06	4
2015/02/07	1
2015/02/08	2
2015/02/09	1
2015/02/10	1
2015/02/11	1
2015/02/14	2
2015/02/16	1
2015/02/19	2
2015/02/20	1
2015/02/22	1
2015/02/25	2
2015/03/02	1
2015/03/05	1
2015/03/06	1
2015/03/09	1
2015/03/10	1
2015/03/13	2
2015/03/14	1
2015/03/15	1
2015/03/16	1
2015/03/22	2
2015/03/26	1
2015/03/28	2
2015/04/05	1
2015/04/08	1
2015/04/10	3
2015/04/11	2
2015/04/13	2
2015/04/14	1
2015/04/16	1
2015/04/17	2
2015/04/18	2
2015/04/19	1
2015/04/20	1
2015/04/22	1
2015/04/24	3
2015/04/25	1
2015/04/26	1
2015/04/29	1
2015/05/01	1
2015/05/03	1
2015/05/05	2
2015/05/07	1
2015/05/09	1
2015/05/10	1
2015/05/14	2
2015/05/15	2
2015/05/16	1
2015/05/17	1
2015/05/18	1
2015/05/20	1
2015/05/21	1
2015/05/25	1
2015/05/27	1
2015/05/28	2
2015/05/29	2
2015/05/30	2
2015/06/01	1
2015/06/03	1
2015/06/04	1
2015/06/09	1
2015/06/13	2
2015/06/15	1
2015/06/18	2
2015/06/24	1
2015/06/28	1
2015/06/29	1
2015/07/07	1
2015/07/11	1
2015/07/13	2
2015/07/15	1
2015/07/19	1
2015/07/22	1
2015/07/23	1
2015/07/24	1
2015/07/31	2
2015/08/01	2
2015/08/03	2
2015/08/04	1
2015/08/06	1
2015/08/07	1
2015/08/09	1
2015/08/11	1
2015/08/12	1
2015/08/13	1
2015/08/14	1
2015/08/15	1
2015/08/16	1
2015/08/19	1
2015/08/23	1
2015/08/25	1
2015/08/30	2
2015/09/10	1
2015/09/13	1
2015/09/17	2
2015/09/18	1
2015/09/22	1
2015/09/23	2
2015/09/25	1
2015/09/27	1
2015/09/28	2
2015/09/29	1
2015/10/02	1
2015/10/03	1
2015/10/05	1
2015/10/13	2
2015/10/15	3
2015/10/20	1
2015/10/22	1
2015/10/23	1
2015/10/26	1
2015/10/29	1
2015/11/01	1
2015/11/04	2
2015/11/12	1
2015/11/16	1
2015/11/17	1
2015/11/18	1
2015/11/22	1
2015/11/23	1
2015/11/24	1
2015/11/26	1
2015/11/27	1
2015/11/28	2
2015/11/29	1
2015/12/01	2
2015/12/02	1
2015/12/05	1
2015/12/09	2
2015/12/12	1
2015/12/13	2
2015/12/14	1
2015/12/15	1
2015/12/16	2
2015/12/17	1
2015/12/18	1
2015/12/24	3
2015/12/26	1
2015/12/28	1
2015/12/29	2
2016/01/05	2
2016/01/08	1
2016/01/11	2
2016/01/12	1
2016/01/14	1
2016/01/20	1
2016/01/27	1
2016/01/31	2
2016/02/01	3
2016/02/02	1
2016/02/05	3
2016/02/08	1
2016/02/09	1
2016/02/10	1
2016/02/11	1
2016/02/13	2
2016/02/14	2
2016/02/15	1
2016/02/17	2
2016/02/18	2
2016/02/20	1
2016/02/24	2
2016/02/27	1
2016/03/01	1
2016/03/02	2
2016/03/03	2
2016/03/05	1
2016/03/06	1
2016/03/11	1
2016/03/12	2
2016/03/13	1
2016/03/18	1
2016/03/20	2
2016/03/21	1
2016/03/24	2
2016/03/28	1
2016/03/30	1
2016/04/01	1
2016/04/06	1
2016/04/07	3
2016/04/08	3
2016/04/09	1
2016/04/10	1
2016/04/16	1
2016/04/18	1
