AK, 44, 69686.20
AL, 25, 103600.01
AL, 56, 99504.91
AR, 51, 61286.05
AZ, 11, 74373.68
AZ, 19, 63333.62
AZ, 28, 72907.58
AZ, 29, 64730.03
AZ, 36, 57133.81
AZ, 39, 98438.99
AZ, 52, 87419.17
AZ, 54, 73812.21
AZ, 75, 102610.06
AZ, 79, 49583.95
AZ, 87, 104299.17
CA, 5, 130395.36
CA, 6, 83635.68
CA, 7, 75430.27
CA, 24, 87198.40
CA, 31, 81596.25
CA, 38, 89228.67
CA, 43, 97971.77
CA, 66, 72618.65
CA, 68, 121943.99
CA, 69, 98355.48
CA, 71, 76425.75
CA, 72, 32411.71
CA, 74, 56769.68
CA, 77, 91123.80
CA, 85, 66289.57
CA, 88, 112113.00
CA, 90, 65182.13
CA, 91, 114524.73
CA, 92, 74197.09
CA, 93, 27947.68
CO, 48, 54256.63
CO, 98, 33512.01
FL, 64, 118465.01
FL, 81, 46153.80
IL, 4, 70153.06
IL, 35, 81012.79
IN, 34, 74548.33
KY, 9, 49097.83
KY, 62, 72586.13
LA, 15, 82972.76
LA, 50, 47112.34
MA, 32, 155776.72
MA, 57, 105097.77
MN, 49, 105197.89
MO, 21, 99047.59
MO, 40, 90066.62
MO, 89, 62967.73
NC, 14, 64201.24
NC, 33, 58499.85
NC, 82, 118267.24
NC, 96, 58817.63
NC, 99, 65183.08
NE, 53, 92913.78
NE, 76, 123580.89
NE, 84, 66363.66
NE, 100, 129610.69
NV, 13, 62728.41
NV, 80, 123443.18
NY, 16, 144436.50
NY, 17, 67607.24
NY, 27, 80609.62
NY, 37, 103094.28
NY, 41, 63508.49
NY, 58, 61743.92
NY, 60, 33519.81
OH, 26, 36187.23
OK, 42, 107425.53
OK, 86, 95931.99
OR, 55, 76289.13
OR, 94, 74197.44
PA, 22, 63615.22
PA, 59, 72214.90
RI, 3, 97137.80
RI, 67, 44380.68
TN, 45, 80012.47
TX, 2, 64747.35
TX, 8, 80802.17
TX, 10, 110867.21
TX, 18, 95614.54
TX, 23, 97242.83
TX, 46, 102333.33
TX, 47, 57391.30
TX, 61, 70128.98
TX, 65, 50769.09
TX, 73, 47930.47
TX, 95, 81944.83
VA, 12, 35324.71
WA, 1, 168803.86
WA, 30, 65630.86
WA, 70, 77245.72
WA, 78, 132433.69
WA, 97, 90223.65
WI, 20, 90599.43
WI, 63, 34388.61
WI, 83, 41009.68
