AK, 44, 69686
AL, 25, 103600
AL, 56, 99505
AR, 51, 61286
AZ, 11, 74374
AZ, 19, 63334
AZ, 28, 72908
AZ, 29, 64730
AZ, 36, 57134
AZ, 39, 98439
AZ, 52, 87419
AZ, 54, 73812
AZ, 75, 102610
AZ, 79, 49584
AZ, 87, 104299
CA, 5, 130395
CA, 6, 83636
CA, 7, 75430
CA, 24, 87198
CA, 31, 81596
CA, 38, 89229
CA, 43, 97972
CA, 66, 72619
CA, 68, 121944
CA, 69, 98355
CA, 71, 76426
CA, 72, 32412
CA, 74, 56770
CA, 77, 91124
CA, 85, 66290
CA, 88, 112113
CA, 90, 65182
CA, 91, 114525
CA, 92, 74197
CA, 93, 27948
CO, 48, 54257
CO, 98, 33512
FL, 64, 118465
FL, 81, 46154
IL, 4, 70153
IL, 35, 81013
IN, 34, 74548
KY, 9, 49098
KY, 62, 72586
LA, 15, 82973
LA, 50, 47112
MA, 32, 155777
MA, 57, 105098
MN, 49, 105198
MO, 21, 99048
MO, 40, 90067
MO, 89, 62968
NC, 14, 64201
NC, 33, 58500
NC, 82, 118267
NC, 96, 58818
NC, 99, 65183
NE, 53, 92914
NE, 76, 123581
NE, 84, 66364
NE, 100, 129611
NV, 13, 62728
NV, 80, 123443
NY, 16, 144437
NY, 17, 67607
NY, 27, 80610
NY, 37, 103094
NY, 41, 63508
NY, 58, 61744
NY, 60, 33520
OH, 26, 36187
OK, 42, 107426
OK, 86, 95932
OR, 55, 76289
OR, 94, 74197
PA, 22, 63615
PA, 59, 72215
RI, 3, 97138
RI, 67, 44381
TN, 45, 80012
TX, 2, 64747
TX, 8, 80802
TX, 10, 110867
TX, 18, 95615
TX, 23, 97243
TX, 46, 102333
TX, 47, 57391
TX, 61, 70129
TX, 65, 50769
TX, 73, 47930
TX, 95, 81945
VA, 12, 35325
WA, 1, 168804
WA, 30, 65631
WA, 70, 77246
WA, 78, 132434
WA, 97, 90224
WI, 20, 90599
WI, 63, 34389
WI, 83, 41010
