2015-01, (Capital Market, Seattle, $17669), (Super Express, San Luis Obispo, $14689), (Cornerstone Mart, Fort Wayne, $14128), (Capital Outlet, Santa Ana, $10849), (Premier Place, Los Angeles, $3369), (Super Express, Houston, $3124), (Beacon Depot, Fremont, $2658), (Apex Zone, Omaha, $1889), (Choice Center, Glendale, $1769), (Liberty Source, Gilbert, $1749)
2015-02, (United Zone, Henderson, $14625), (Vista Exchange, Arlington, $13999), (Apex Store, Baton Rouge, $9835), (Sterling Shop, Rochester, $8515), (Liberty Source, Mesa, $7299), (Atlantic Market, Oklahoma City, $6299), (Atlantic Hub, Tucson, $6290), (Summit Gallery, Pittsburgh, $4235), (Liberty Warehouse, Jacksonville, $2399), (Apex Zone, Omaha, $2049)
2015-03, (Liberty Warehouse, Mesa, $26253), (Royal Store, Buffalo, $15749), (City Direct, Tampa, $8399), (Vista World, Boston, $7339), (Apex Zone, Omaha, $5029), (Diamond Plaza, Chicago, $3829), (Premier Market, Denver, $3453), (Capital Market, Seattle, $2496), (Metro Store, El Paso, $2067), (Value Mart, San Bernardino, $1599)
2015-04, (Capital Market, Seattle, $22438), (Beacon Hub, Garland, $11169), (Cornerstone Mart, Scottsdale, $9669), (Apex Store, Baton Rouge, $5839), (American Mart, Kansas City, $3749), (Beacon Depot, Fremont, $3703), (Central Depot, Gilbert, $3639), (Royal Direct, Gilbert, $3140), (Pacific Center, Omaha, $2824), (Liberty Center, Memphis, $2399)
2015-05, (Super Zone, Glendale, $11905), (Premier Place, Los Angeles, $11242), (Best Zone, Glendale, $10189), (Pacific Buy, Seattle, $7243), (Beacon Depot, Fremont, $7185), (Choice Gallery, Dallas, $5094), (United Place, Baton Rouge, $4559), (Vista World, Boston, $3541), (Pacific Warehouse, Glendale, $2239), (Royal Store, Buffalo, $1899)
2015-06, (Liberty Source, Gilbert, $27879), (Super Express, Birmingham, $3699), (Vista World, Boston, $2675), (Vista Direct, Oklahoma City, $2419), (Choice Center, Glendale, $1829), (Metro Mart, New York, $1799), (Beacon Depot, Fremont, $1119), (Liberty Warehouse, Jacksonville, $1074), (Capital Shop, Kansas City, $349), (Elite Express, Denver, $319)
2015-07, (Vista World, Mesa, $14399), (Super Express, Birmingham, $8749), (United Depot, Buffalo, $8399), (Heritage Express, Portland, $7948), (American Mart, Kansas City, $3599), (Apex Zone, Omaha, $2693), (United Gallery, Yonkers, $2359), (Beacon Hub, Garland, $1119), (Capital Shop, Kansas City, $1087), (Liberty Warehouse, Mesa, $1079)
2015-08, (American Source, San Diego, $19299), (Cornerstone Shop, Reno, $17701), (United Zone, Henderson, $13069), (Diamond Plaza, Chicago, $6276), (Super Express, San Luis Obispo, $5332), (Liberty Center, Memphis, $4999), (United Gallery, Yonkers, $3999), (Royal Shop, Plano, $3919), (Best Mart, Long Beach, $3591), (Pacific Buy, Seattle, $2208)
2015-09, (Pacific Warehouse, Glendale, $16974), (City Place, Pittsburgh, $5859), (Royal Mart, Madison, $4862), (Liberty Warehouse, Jacksonville, $3969), (United Zone, Henderson, $3799), (American Mart, Kansas City, $3770), (Crown Zone, Providence, $2519), (Super Express, Houston, $1649), (Apex Plaza, Scottsdale, $1449), (American Source, San Diego, $689)
2015-10, (Beacon Warehouse, New York, $21041), (Apex Zone, Omaha, $5959), (Liberty Center, Memphis, $5691), (Vista World, Fontana, $5639), (Cornerstone Mart, Scottsdale, $4159), (Crown Express, Arlington, $3593), (Sterling Market, Charlotte, $2901), (Royal Buy, Long Beach, $1533), (City Hub, Los Angeles, $1169), (Elite Depot, Mesa, $1049)
2015-11, (Liberty Warehouse, Mesa, $8189), (Liberty Warehouse, Jacksonville, $5249), (Liberty Center, Memphis, $4964), (City Hub, Los Angeles, $4953), (Super Plaza, Milwaukee, $4048), (Beacon Shop, Arlington, $3029), (Royal Mart, Madison, $2649), (Value Gallery, Lincoln, $2089), (Vista World, Mesa, $1033), (Cornerstone Mart, Scottsdale, $719)
