1, 622, 11, 1
2, 1413, 75, 2
3, 749, 80, 2
4, 142, 31, 2
5, 436, 37, 10
6, 1100, 56, 7
7, 407, 88, 2
8, 1429, 90, 5
9, 1886, 40, 9
10, 1419, 79, 2
11, 1680, 69, 4
12, 488, 81, 8
13, 857, 71, 7
14, 1356, 37, 2
15, 473, 53, 9
16, 1793, 24, 8
17, 1536, 53, 1
18, 1237, 36, 6
19, 1585, 61, 6
20, 154, 30, 6
21, 785, 28, 6
22, 1077, 8, 10
23, 559, 88, 3
24, 1837, 78, 2
25, 127, 4, 1
26, 1705, 11, 2
27, 839, 75, 9
28, 1988, 90, 5
29, 277, 96, 3
30, 1959, 82, 10
31, 1720, 43, 2
32, 65, 16, 8
33, 33, 41, 5
34, 1231, 96, 3
35, 1016, 56, 1
36, 1095, 35, 1
37, 146, 43, 9
38, 1596, 35, 2
39, 994, 10, 8
40, 1236, 92, 10
41, 1622, 9, 3
42, 1078, 20, 5
43, 1741, 63, 1
44, 39, 71, 7
45, 1692, 13, 3
46, 1991, 81, 9
47, 295, 1, 9
48, 192, 52, 2
49, 853, 23, 5
50, 1899, 46, 10
51, 144, 63, 5
52, 939, 40, 9
53, 1936, 97, 8
54, 1743, 58, 5
55, 74, 97, 4
56, 1686, 76, 4
57, 557, 21, 9
58, 231, 16, 10
59, 520, 18, 6
60, 910, 70, 4
61, 680, 88, 8
62, 1517, 41, 8
63, 1240, 47, 7
64, 1674, 12, 10
65, 696, 91, 7
66, 1881, 62, 2
67, 653, 67, 5
68, 1056, 50, 9
69, 1747, 90, 3
70, 815, 16, 10
71, 611, 82, 3
72, 1012, 49, 10
73, 255, 42, 1
74, 1271, 94, 5
75, 128, 72, 2
76, 198, 40, 5
77, 447, 8, 10
78, 629, 26, 5
79, 548, 76, 9
80, 814, 40, 9
81, 1726, 98, 5
82, 1678, 9, 1
83, 1986, 59, 7
84, 1044, 58, 3
85, 1391, 82, 8
86, 104, 70, 4
87, 706, 33, 6
88, 1628, 65, 4
89, 813, 7, 6
90, 864, 43, 4
91, 1093, 76, 2
92, 377, 33, 1
93, 16, 6, 7
94, 1247, 37, 8
95, 1281, 73, 8
96, 1659, 52, 4
97, 899, 66, 6
98, 927, 46, 4
99, 1559, 4, 8
100, 1245, 38, 5
101, 1673, 73, 5
102, 433, 99, 9
103, 1377, 89, 3
104, 1528, 2, 7
105, 1373, 37, 3
106, 1120, 73, 10
107, 1462, 67, 5
108, 1185, 25, 4
109, 1866, 84, 5
110, 1839, 46, 5
111, 1330, 14, 1
112, 840, 8, 5
113, 70, 5, 5
114, 303, 50, 9
115, 1690, 82, 2
116, 1934, 30, 8
117, 85, 76, 4
118, 1042, 31, 10
119, 534, 91, 1
120, 263, 89, 5
121, 1570, 38, 2
122, 1121, 28, 2
123, 1539, 96, 3
124, 1282, 40, 4
125, 1652, 15, 2
126, 1832, 27, 9
127, 172, 94, 1
128, 1418, 52, 3
129, 1904, 50, 4
130, 1363, 44, 9
131, 1778, 80, 10
132, 1499, 88, 10
133, 1687, 5, 5
134, 973, 43, 4
135, 145, 7, 2
136, 25, 66, 6
137, 1407, 32, 2
138, 1158, 91, 6
139, 1820, 44, 10
140, 1675, 46, 1
141, 220, 52, 9
142, 958, 54, 4
143, 318, 86, 5
144, 551, 28, 4
145, 440, 69, 6
146, 168, 37, 7
147, 1538, 59, 4
148, 822, 7, 8
149, 1927, 50, 6
150, 1542, 55, 3
151, 1906, 88, 7
152, 798, 62, 4
153, 1964, 69, 8
154, 1731, 6, 7
155, 347, 39, 3
156, 1084, 14, 6
157, 1815, 54, 3
158, 987, 47, 2
159, 1038, 98, 8
160, 1529, 19, 8
161, 1017, 14, 2
162, 282, 20, 9
163, 1990, 67, 3
164, 966, 79, 7
165, 661, 26, 3
166, 849, 21, 1
167, 1163, 99, 3
168, 1172, 27, 5
169, 1315, 71, 8
170, 1902, 85, 6
171, 891, 73, 7
172, 1453, 38, 8
173, 1776, 25, 2
174, 1907, 13, 3
175, 791, 65, 5
176, 1224, 87, 2
177, 607, 6, 6
178, 425, 85, 4
179, 42, 31, 2
180, 605, 27, 5
181, 1753, 1, 9
182, 1494, 59, 3
183, 669, 52, 3
184, 1975, 77, 7
185, 153, 25, 1
186, 1574, 57, 3
187, 540, 25, 1
188, 707, 13, 9
189, 2, 25, 6
190, 1825, 64, 6
191, 1967, 36, 9
192, 1368, 58, 2
193, 977, 27, 3
194, 117, 41, 6
195, 597, 100, 4
196, 1599, 5, 4
197, 1590, 95, 10
198, 1306, 73, 6
199, 751, 10, 6
200, 312, 38, 7
201, 103, 83, 7
202, 514, 34, 8
203, 247, 28, 3
204, 411, 90, 7
205, 1892, 39, 3
206, 1696, 61, 8
207, 1754, 79, 6
208, 782, 5, 7
209, 933, 3, 5
210, 1728, 51, 5
211, 1999, 98, 8
212, 554, 83, 2
213, 1035, 69, 9
214, 1909, 66, 10
215, 874, 82, 9
216, 1670, 57, 5
217, 244, 74, 10
218, 1703, 47, 6
219, 793, 77, 2
220, 1962, 86, 7
221, 1068, 9, 10
222, 1645, 87, 8
223, 1852, 65, 3
224, 713, 68, 9
225, 48, 89, 8
226, 898, 16, 1
227, 106, 52, 3
228, 1842, 58, 4
229, 902, 29, 4
230, 132, 38, 2
231, 34, 95, 1
232, 284, 54, 7
233, 509, 24, 3
234, 1001, 20, 8
235, 1882, 5, 6
236, 314, 54, 9
237, 917, 45, 3
238, 965, 2, 10
239, 1919, 99, 6
240, 483, 27, 8
241, 1135, 45, 2
242, 1187, 31, 6
243, 1676, 11, 10
244, 218, 87, 3
245, 19, 21, 6
246, 821, 46, 4
247, 1457, 27, 5
248, 583, 4, 3
249, 1807, 39, 4
250, 72, 42, 2
251, 1241, 96, 10
252, 1961, 72, 5
253, 300, 29, 3
254, 9, 27, 10
255, 869, 5, 1
256, 1087, 14, 5
257, 1614, 7, 8
258, 304, 48, 8
259, 507, 7, 6
260, 29, 88, 5
261, 1130, 28, 3
262, 1773, 29, 4
263, 342, 72, 10
264, 859, 53, 6
265, 568, 81, 8
266, 5, 32, 5
267, 1446, 46, 10
268, 981, 49, 3
269, 1244, 7, 10
270, 1661, 5, 3
271, 1299, 78, 3
272, 17, 69, 1
273, 1586, 68, 2
274, 465, 4, 10
275, 1323, 39, 10
276, 1543, 94, 10
277, 523, 82, 8
278, 185, 91, 10
279, 1123, 2, 5
280, 1781, 11, 1
281, 1058, 36, 3
282, 1297, 26, 6
283, 460, 30, 9
284, 1937, 85, 5
285, 1508, 78, 1
286, 1192, 89, 8
287, 1220, 71, 6
288, 40, 100, 6
289, 309, 22, 9
290, 708, 94, 5
291, 1677, 60, 5
292, 1790, 48, 7
293, 1656, 23, 6
294, 746, 81, 6
295, 1958, 78, 1
296, 287, 39, 6
297, 626, 95, 1
298, 262, 21, 1
299, 691, 13, 6
300, 1856, 100, 6
301, 1116, 15, 8
302, 1800, 18, 8
303, 1342, 7, 2
304, 805, 75, 2
305, 876, 55, 7
306, 1557, 75, 6
307, 1698, 42, 8
308, 547, 8, 8
309, 92, 100, 9
310, 1777, 43, 2
311, 921, 44, 2
312, 889, 93, 6
313, 564, 35, 2
314, 1510, 4, 2
315, 830, 70, 2
316, 837, 77, 1
317, 1289, 24, 5
318, 320, 9, 7
319, 1868, 44, 6
320, 1484, 17, 2
321, 946, 86, 7
322, 1173, 58, 1
323, 1213, 20, 3
324, 1971, 93, 9
325, 66, 87, 10
326, 1786, 23, 10
327, 724, 68, 9
328, 27, 93, 9
329, 1348, 30, 2
330, 1147, 60, 2
331, 1895, 90, 2
332, 1143, 22, 1
333, 1277, 59, 10
334, 464, 93, 7
335, 1029, 80, 5
336, 1900, 96, 8
337, 681, 75, 5
338, 1054, 39, 4
339, 1052, 3, 9
340, 241, 35, 5
341, 251, 2, 2
342, 575, 23, 10
343, 646, 21, 4
344, 1376, 71, 1
345, 1827, 50, 8
346, 1070, 84, 6
347, 1375, 97, 7
348, 1871, 17, 1
349, 1313, 54, 7
350, 490, 14, 9
351, 1869, 83, 6
352, 1201, 50, 3
353, 871, 30, 6
