2015-01, (Capital Market, Seattle, $17670), (Super Express, San Luis Obispo, $14690), (Cornerstone Mart, Fort Wayne, $14129), (Capital Outlet, Santa Ana, $10850), (Premier Place, Los Angeles, $3370), (Super Express, Houston, $3125), (Beacon Depot, Fremont, $2659), (Apex Zone, Omaha, $1890), (Choice Center, Glendale, $1770), (Liberty Source, Gilbert, $1750)
2015-02, (United Zone, Henderson, $14625), (Vista Exchange, Arlington, $14000), (Apex Store, Baton Rouge, $9836), (Sterling Shop, Rochester, $8516), (Liberty Source, Mesa, $7300), (Atlantic Market, Oklahoma City, $6299), (Atlantic Hub, Tucson, $6291), (Summit Gallery, Pittsburgh, $4236), (Liberty Warehouse, Jacksonville, $2400), (Apex Zone, Omaha, $2050)
2015-03, (Liberty Warehouse, Mesa, $26254), (Royal Store, Buffalo, $15750), (City Direct, Tampa, $8400), (Vista World, Boston, $7340), (Apex Zone, Omaha, $5030), (Diamond Plaza, Chicago, $3830), (Premier Market, Denver, $3454), (Capital Market, Seattle, $2497), (Metro Store, El Paso, $2068), (Value Mart, San Bernardino, $1600)
2015-04, (Capital Market, Seattle, $22439), (Beacon Hub, Garland, $11170), (Cornerstone Mart, Scottsdale, $9670), (Apex Store, Baton Rouge, $5840), (American Mart, Kansas City, $3750), (Beacon Depot, Fremont, $3704), (Central Depot, Gilbert, $3640), (Royal Direct, Gilbert, $3141), (Pacific Center, Omaha, $2825), (Liberty Center, Memphis, $2400)
2015-05, (Super Zone, Glendale, $11906), (Premier Place, Los Angeles, $11243), (Best Zone, Glendale, $10190), (Pacific Buy, Seattle, $7244), (Beacon Depot, Fremont, $7186), (Choice Gallery, Dallas, $5095), (United Place, Baton Rouge, $4560), (Vista World, Boston, $3542), (Pacific Warehouse, Glendale, $2240), (Royal Store, Buffalo, $1900)
2015-06, (Liberty Source, Gilbert, $27879), (Super Express, Birmingham, $3700), (Vista World, Boston, $2676), (Vista Direct, Oklahoma City, $2419), (Choice Center, Glendale, $1830), (Metro Mart, New York, $1800), (Beacon Depot, Fremont, $1120), (Liberty Warehouse, Jacksonville, $1075), (Capital Shop, Kansas City, $350), (Elite Express, Denver, $320)
2015-07, (Vista World, Mesa, $14400), (Super Express, Birmingham, $8750), (United Depot, Buffalo, $8400), (Heritage Express, Portland, $7948), (American Mart, Kansas City, $3600), (Apex Zone, Omaha, $2694), (United Gallery, Yonkers, $2360), (Beacon Hub, Garland, $1120), (Capital Shop, Kansas City, $1088), (Liberty Warehouse, Mesa, $1080)
2015-08, (American Source, San Diego, $19300), (Cornerstone Shop, Reno, $17702), (United Zone, Henderson, $13069), (Diamond Plaza, Chicago, $6276), (Super Express, San Luis Obispo, $5333), (Liberty Center, Memphis, $5000), (United Gallery, Yonkers, $4000), (Royal Shop, Plano, $3920), (Best Mart, Long Beach, $3591), (Pacific Buy, Seattle, $2209)
2015-09, (Pacific Warehouse, Glendale, $16975), (City Place, Pittsburgh, $5860), (Royal Mart, Madison, $4863), (Liberty Warehouse, Jacksonville, $3970), (United Zone, Henderson, $3800), (American Mart, Kansas City, $3771), (Crown Zone, Providence, $2520), (Super Express, Houston, $1650), (Apex Plaza, Scottsdale, $1450), (American Source, San Diego, $690)
2015-10, (Beacon Warehouse, New York, $21042), (Apex Zone, Omaha, $5960), (Liberty Center, Memphis, $5692), (Vista World, Fontana, $5640), (Cornerstone Mart, Scottsdale, $4159), (Crown Express, Arlington, $3594), (Sterling Market, Charlotte, $2902), (Royal Buy, Long Beach, $1534), (City Hub, Los Angeles, $1170), (Elite Depot, Mesa, $1050)
2015-11, (Liberty Warehouse, Mesa, $8190), (Liberty Warehouse, Jacksonville, $5250), (Liberty Center, Memphis, $4965), (City Hub, Los Angeles, $4954), (Super Plaza, Milwaukee, $4049), (Beacon Shop, Arlington, $3030), (Royal Mart, Madison, $2650), (Value Gallery, Lincoln, $2090), (Vista World, Mesa, $1034), (Cornerstone Mart, Scottsdale, $720)
